Model,xgb_learning_rate,xgb_max_depth,xgb_n_estimators,xgb_subsample,xgb_colsample,xgb_reg_lambda,rf_max_depth,rf_min_samples_leaf,rf_n_estimators,rf_max_features,ann_hidden_layers,ann_activation,ann_alpha,ann_lr_init,CV R² (mean),Test R²,Test MAE,Test RMSE,Params
ANN,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,"[128, 64]",relu,0.0001,0.0005,-0.742451995,0.782854972,3.862936939,4.62206457,"{""hidden_layer_sizes"": [128, 64], ""activation"": ""relu"", ""alpha"": 0.0001, ""learning_rate_init"": 0.0005}"
ANN,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,"[128, 64]",relu,0.001,0.0005,-0.750282715,0.765282928,4.079275771,4.8054427,"{""hidden_layer_sizes"": [128, 64], ""activation"": ""relu"", ""alpha"": 0.001, ""learning_rate_init"": 0.0005}"
ANN,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,[128],tanh,0.001,0.001,0.139993802,0.617380601,4.510421685,6.135423648,"{""hidden_layer_sizes"": [128], ""activation"": ""tanh"", ""alpha"": 0.001, ""learning_rate_init"": 0.001}"
ANN,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,[128],tanh,0.0001,0.001,0.139993629,0.617378265,4.510430096,6.135442378,"{""hidden_layer_sizes"": [128], ""activation"": ""tanh"", ""alpha"": 0.0001, ""learning_rate_init"": 0.001}"
ANN,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,[128],relu,0.0001,0.001,0.121988896,0.57990094,5.401240004,6.428903667,"{""hidden_layer_sizes"": [128], ""activation"": ""relu"", ""alpha"": 0.0001, ""learning_rate_init"": 0.001}"
ANN,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,[128],relu,0.001,0.001,0.122447347,0.579431617,5.404135933,6.432493764,"{""hidden_layer_sizes"": [128], ""activation"": ""relu"", ""alpha"": 0.001, ""learning_rate_init"": 0.001}"
ANN,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,[128],tanh,0.001,0.0005,0.11139348,0.338834293,6.587370881,8.065220089,"{""hidden_layer_sizes"": [128], ""activation"": ""tanh"", ""alpha"": 0.001, ""learning_rate_init"": 0.0005}"
ANN,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,[128],tanh,0.0001,0.0005,0.111393956,0.338834046,6.587371894,8.0652216,"{""hidden_layer_sizes"": [128], ""activation"": ""tanh"", ""alpha"": 0.0001, ""learning_rate_init"": 0.0005}"
ANN,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,[64],tanh,0.0001,0.001,-0.010338678,-0.012682388,9.398855696,9.981543227,"{""hidden_layer_sizes"": [64], ""activation"": ""tanh"", ""alpha"": 0.0001, ""learning_rate_init"": 0.001}"
ANN,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,[64],tanh,0.001,0.001,-0.010338707,-0.012683642,9.398861288,9.981549411,"{""hidden_layer_sizes"": [64], ""activation"": ""tanh"", ""alpha"": 0.001, ""learning_rate_init"": 0.001}"
